Area,Baths,Bedrooms,Price,location
10.9 Marla,3,3,PKR2.1 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,5,4,PKR3.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
4.9 Marla,2,1,PKR1.23 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.35 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.7 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.35 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,4,PKR2.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,5,4,PKR3.8 Crore,"Bahria Town, Islamabad, Islamabad Capital"
4.1 Marla,2,2,PKR1.47 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2 Kanal,7,6,PKR15 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,5,4,PKR4.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR2.42 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.38 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR4.25 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR2.2 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,5,4,PKR4.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.8 Marla,1,-,PKR65 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
1.8 Marla,1,-,PKR45 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
1 Kanal,7,6,PKR9.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
2.9 Marla,1,-,PKR79 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR1.6 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,6,5,PKR5.2 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.35 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,3,PKR2.85 Crore,"Bahria Town, Islamabad, Islamabad Capital"
8 Marla,5,5,PKR3.2 Crore,"Bahria Town, Islamabad, Islamabad Capital"
7 Marla,2,2,PKR1.7 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,4,4,PKR5.25 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR2.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,4,4,PKR5.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,3,3,PKR2.4 Crore,"Bahria Town, Islamabad, Islamabad Capital"
4.7 Marla,1,1,PKR1.25 Crore,"Bahria Town, Islamabad, Islamabad Capital"
5 Marla,4,4,PKR1.55 Crore,"Bahria Town, Islamabad, Islamabad Capital"
1.7 Marla,1,1,PKR50 Lakh,"Bahria Town, Islamabad, Islamabad Capital"
10 Marla,5,5,PKR4.5 Crore,"Bahria Town, Islamabad, Islamabad Capital"
